"GO" "genes"
"establishment of RNA localization" "NUP160/TPR/RIOK2/NDC1/NUP133/RTRAF/KHSRP/POLDIP3/NUP88/NUP98/SRSF4/SFPQ/SRSF11/HNRNPA2B1/LTV1/DHX9/NCBP1/FLOT1/LRPPRC/RBM26/EIF4A3/SRSF2/MAGOH/NUP35/IWS1/EIF5A2/ABCE1/PHAX/CPSF2/PA2G4/TOMM20/CKAP5/ALYREF/MYO1C/RBM8A"
"regulation of translation" "TPR/YBX3/ELAVL1/PABPC1/DDX1/KHSRP/AARS/MAPK1/POLDIP3/EIF3D/EIF5/EIF3E/HNRNPL/EIF3B/EIF4H/C1QBP/EIF4G2/GAPDH/EIF1B/NCL/TIA1/DPH5/RPL5/PTCD3/CAPRIN1/CDK4/DHX9/EPRS/NCBP1/THBS1/LRPPRC/HNRNPD/EIF4A3/AKT1/RPL13A/MTG1/CDC123/MAGOH/EIF5A2/METAP1/NOLC1/DAPK3/EEF2/STAT3/PA2G4/PAIP1/TRMT10C/DHX36/CALR/EIF4EBP1/RPS4X/YTHDF2/LSM14A/RBM8A/CYFIP1"
"negative regulation of chromosome organization" "SPDL1/TPR/MCM2/XRCC5/NDC80/SMARCB1/NAA10/IK/H2AFY/DUSP1/PSMG2/TOP2A/CCNB1/PARP1/DYNC1LI1/BUB3/MAD2L1/RAD21/PLK1/CDT1/HIST1H1E/EXOSC10/TAF7/HIST1H1B/H1FX/HIST1H1C/NOC2L/H1F0"
"generation of precursor metabolites and energy" "UQCRC1/ME1/P4HA2/SDHA/ENO1/NDUFB2/HIF1A/PYGB/PGK1/GSR/NOP53/ETFB/PPIF/UGDH/ATP5F1B/GAPDH/COQ10B/SDHB/NDUFA8/DLST/CISD1/NDUFA1/UQCR11/GFPT2/PDHA1/SELENOS/CCNB1/IL6ST/SUCLA2/FDX1/NDUFA9/ETFA/AKT1/SH3BGRL3/SDHC/MDH2/NDUFB9/DLAT/NDUFC2/OXA1L/HK2/UQCRQ/VCP/CYB5A/IDH3A/DDIT4/STAT3/UQCRFS1/PRELID1/PGAM1/NDUFV2/IDH2/HMGB1/ADH5/GFPT1/COX2/ND5/ATP8"
"cellular amino acid metabolic process" "GCLM/SARS/KARS/IARS2/P4HA2/PLOD1/AARS/MTAP/SLC7A5/OAZ1/GARS/AIMP2/PLOD3/BLMH/RARS/NIT2/ODC1/DARS/FARSB/DLST/GOT1/PRDX4/PEPD/GOT2/PPAT/GFPT2/MCCC2/LARS/NARS/YARS/PSAT1/EPRS/FPGS/PYCR2/AASDHPPT/PLOD2/GMPS/AIMP1/ALDH7A1/CKB/CRTAP/QARS/FARSA/PPA1/P4HB/IARS/GFPT1"
"tRNA aminoacylation" "SARS/KARS/IARS2/AARS/GARS/AIMP2/RARS/DARS/FARSB/LARS/NARS/YARS/EPRS/AIMP1/QARS/FARSA/PPA1/IARS"
"protein targeting to ER" "SEC62/RPS20/SEC63/RPL3/CHMP4B/RPS19/RPS13/RPS12/RPL22/RPL21/RPL5/RPS15A/PMM2/RPS11/RPL13A/RPS8/RPL37/RPL27A/SRP68/RPL4/SRP72/RPLP2/RPL12/RPS4X/ASNA1/RPL10A"
"response to topologically incorrect protein" "ERP44/CUL3/HSPA5/UFD1/RNF126/HSP90AA1/DNAJA1/FKBP14/CCND1/HSPA9/FAF2/NFE2L2/CLU/SELENOS/DNAJB1/UGGT1/TOR1A/TLN1/THBS1/PDIA6/UBXN4/HSPD1/SRPRB/MANF/HYOU1/HSPA13/LMNA/STT3B/VCP/HSP90B1/HSPA4/CALR/ASNA1/GFPT1/DCTN1"
"cotranslational protein targeting to membrane" "SEC62/RPS20/SEC63/RPL3/RPS19/RPS13/RPS12/RPL22/RPL21/RPL5/RPS15A/RPS11/RPL13A/RPS8/RPL37/SSR2/RPL27A/SRP68/ARL6IP1/RPL4/SRP72/RPLP2/RPL12/RPS4X/RPL10A"
"mitochondrial translation" "IARS2/MRPS34/MRPL28/GARS/C1QBP/MRPS15/MRPS2/PTCD3/MRPL44/LRPPRC/MRPL9/MRPS5/MTG1/MRPL39/OXA1L/MRPL17/MRPL58/TRMT10C/MRPS22/TUFM/MRPL14/MRPS23/MRPS16/MRPL54/MRPL38/MRPL46/MRPL45"
"amino acid activation" "SARS/KARS/IARS2/AARS/GARS/AIMP2/RARS/DARS/FARSB/LARS/NARS/YARS/EPRS/AIMP1/QARS/FARSA/PPA1/IARS"
"import into nucleus" "KPNA6/TPR/IPO5/NUP133/PTGS2/TNPO1/RBM22/MAPK1/KPNA3/KPNB1/NUP88/ZPR1/NUP98/MAPK14/KPNA1/CSE1L/SNRPD2/TRIM28/PPP3CA/AKT1/HIKESHI/BAG3/LMNA/NUP35/NOLC1/SNRPD1/STAT3/HDAC3/SNRPE/KPNA4/IPO7/PHB2"
"nuclear export" "NUP160/TPR/RIOK2/NDC1/NUP133/PRKACA/RBM22/POLDIP3/EMD/NUP88/NUP98/SRSF4/SRSF11/HNRNPA2B1/CSE1L/LTV1/DHX9/NCBP1/ANP32B/RBM26/EIF4A3/BAG3/SRSF2/MAGOH/NUP35/IWS1/ABCE1/PHAX/CPSF2/PA2G4/CALR/PTPN11/ALYREF/RBM8A"
"protein-containing complex disassembly" "VTA1/CAPG/SMARCE1/MRPS34/CHMP2B/ZMPSTE24/MRPL28/SMARCB1/GSPT1/NAPA/SPTBN1/CAPZA1/MRPS15/MRPS2/PTCD3/NES/UBQLN1/SNX14/MRPL44/DENR/MRPL9/MRPS5/PELO/MRPL39/OXA1L/MRPL17/EIF5A2/ABCE1/VCP/CFL2/MRPL58/DDIT4/GABARAP/KIF5B/SMARCC1/MRPS22/CKAP5/MRPL14/MRPS23/MRPS16/MRPL54/MRPL38/TWF2/MRPL46/MRPL45"
"translational termination" "MRPS34/MRPL28/GSPT1/MRPS15/MRPS2/PTCD3/MRPL44/MRPL9/MRPS5/MRPL39/OXA1L/MRPL17/EIF5A2/ABCE1/MRPL58/MRPS22/MRPL14/MRPS23/MRPS16/MRPL54/MRPL38/MRPL46/MRPL45"
"mitotic nuclear division" "ANLN/CUL3/SPDL1/TPR/RIOK2/NDC80/CHMP2B/PEBP1/PRMT5/CHMP4B/NAA10/PPP2R1A/UBE2S/KPNB1/NCAPG/CCND1/IK/CCNG1/H2AFY/SMC4/NEK2/CCNI/NEK6/DUSP1/PDS5A/MAD2L1BP/PIN1/PSMG2/TUBG1/CCNB1/CDCA8/RB1/DYNC1LI1/CCNA2/BUB3/RACGAP1/MAD2L1/RAD21/PLK1/CDT1/PHB2"
"regulation of chromosome separation" "CUL3/SPDL1/TPR/RIOK2/NDC80/IK/NEK6/DUSP1/PSMG2/CCNB1/RB1/DYNC1LI1/BUB3/MAD2L1/RAD21/PLK1/CDT1"
"protein import into nucleus" "KPNA6/TPR/IPO5/NUP133/PTGS2/TNPO1/RBM22/MAPK1/KPNA3/KPNB1/NUP88/ZPR1/NUP98/MAPK14/KPNA1/CSE1L/TRIM28/PPP3CA/AKT1/HIKESHI/BAG3/LMNA/NUP35/NOLC1/STAT3/HDAC3/KPNA4/IPO7/PHB2"
"negative regulation of organelle organization" "SLC25A5/SPDL1/CAPG/TPR/MAP4/MCM2/XRCC5/NDC80/SCFD1/SMARCB1/CHMP4B/NAA10/CLIP3/PPIF/PFN1/IK/H2AFY/SPTBN1/CAPZA1/NEK2/DUSP1/CLU/PSMG2/TOP2A/CCNB1/AKT1/PARP1/DYNC1LI1/BAG3/BUB3/LMNA/MAD2L1/RAD21/PLK1/ACAA2/CDT1/HIST1H1E/PRELID1/EXOSC10/TAF7/HIST1H1B/H1FX/INSIG1/HIST1H1C/NOC2L/H1F0/OPA1/GPX1/RBM14/TWF2"
"negative regulation of mitotic metaphase/anaphase transition" "SPDL1/TPR/NDC80/IK/DUSP1/PSMG2/CCNB1/DYNC1LI1/BUB3/MAD2L1/RAD21/PLK1/CDT1"
"mRNA 3'-end processing" "PABPC1/SNRPA/PAPOLA/POLDIP3/ZC3H14/CSTF2/SRSF4/SRSF11/GRSF1/CCNB1/CDC73/CDK9/NCBP1/EIF4A3/CPSF7/SRSF2/MAGOH/CPSF2/NUDT21/DHX36/CSTF3/ALYREF/RBM8A"
"regulation of nuclear division" "ANLN/CUL3/SPDL1/TPR/RIOK2/NDC80/CHMP2B/PEBP1/PRMT5/CHMP4B/NAA10/CCND1/IK/CCNG1/H2AFY/NEK2/CCNI/NEK6/DUSP1/MAD2L1BP/PIN1/PSMG2/CCNB1/RB1/DYNC1LI1/CCNA2/BUB3/MAD2L1/RAD21/PLK1/CDT1/CALR/PHB2"
"mitochondrial translational elongation" "MRPS34/MRPL28/MRPS15/MRPS2/PTCD3/MRPL44/MRPL9/MRPS5/MRPL39/OXA1L/MRPL17/MRPL58/MRPS22/TUFM/MRPL14/MRPS23/MRPS16/MRPL54/MRPL38/MRPL46/MRPL45"
"negative regulation of mitotic sister chromatid segregation" "SPDL1/TPR/NDC80/NAA10/IK/DUSP1/PSMG2/CCNB1/DYNC1LI1/BUB3/MAD2L1/RAD21/PLK1/CDT1"
"negative regulation of cellular catabolic process" "POLDIP2/TIMP2/THRAP3/YBX3/ELAVL1/VPS35/PABPC1/MTMR2/SCFD1/TIMP3/CHMP4B/CST3/USP14/LAPTM4B/NOP53/NAMPT/EIF4G2/MAPK14/TARDBP/RPL5/LARS/OS9/DHX9/LRPPRC/HNRNPD/NPC1/AKT1/NAF1/NOCT/DDIT4/STAT3/PAIP1/SMARCC1/DHX36/WDR6/UBE2G2/USP7/UBE2J1"
"endomembrane system organization" "VTA1/EHD2/AP3D1/GOLGA5/CHMP2B/ZMPSTE24/RAB10/TMED2/MAPK1/PRMT5/CHMP4B/EMD/LAPTM4B/RAB2A/WASL/CCDC47/GOLPH3/SPTBN1/GORASP2/NEK6/CLU/TARDBP/MAP2K2/NECTIN2/SNX9/COL5A1/SYT11/CCNB1/TOR1A/FLOT1/RAB1A/MYOF/SCARB2/USO1/CSNK1D/SOD1/AKT1/HIKESHI/VPS37A/TMED4/SNF8/LMNA/SQSTM1/PLK1/REEP4/MAP2K1/TMED10/ARL6IP1/BANF1/TMED9/ASNA1/DCTN1"
"nuclear chromosome segregation" "CUL3/SPDL1/TPR/RIOK2/NDC1/NDC80/CHMP2B/CHMP4B/NAA10/PPP2R1A/KPNB1/NCAPG/IK/H2AFY/SMC4/ACTR3/SFPQ/NEK2/NEK6/DUSP1/PDS5A/PSMG2/TUBG1/TOP2A/CCNB1/CDCA8/RB1/DYNC1LI1/BUB3/RACGAP1/MAD2L1/RAD21/PLK1/CDT1/FEN1/RCC2/DYNC1H1/MCMBP/PHB2"
"negative regulation of metaphase/anaphase transition of cell cycle" "SPDL1/TPR/NDC80/IK/DUSP1/PSMG2/CCNB1/DYNC1LI1/BUB3/MAD2L1/RAD21/PLK1/CDT1"
"nucleobase-containing compound transport" "SLC25A5/NUP160/TPR/RIOK2/NDC1/NUP133/RTRAF/KHSRP/POLDIP3/NUP88/NUP98/SRSF4/SFPQ/SRSF11/SLC35B1/HNRNPA2B1/LTV1/DHX9/NCBP1/FLOT1/LRPPRC/RBM26/EIF4A3/SRSF2/MAGOH/NUP35/IWS1/EIF5A2/ABCE1/PHAX/CPSF2/PA2G4/TOMM20/CKAP5/ALYREF/MYO1C/RBM8A"
"formation of cytoplasmic translation initiation complex" "EIF3I/EIF3L/EIF3D/EIF3J/EIF3E/EIF3B/EIF3A/EIF3G/EIF3M"
"negative regulation of sister chromatid segregation" "SPDL1/TPR/NDC80/NAA10/IK/DUSP1/PSMG2/CCNB1/DYNC1LI1/BUB3/MAD2L1/RAD21/PLK1/CDT1"
"negative regulation of mitotic sister chromatid separation" "SPDL1/TPR/NDC80/IK/DUSP1/PSMG2/CCNB1/DYNC1LI1/BUB3/MAD2L1/RAD21/PLK1/CDT1"
"peptidyl-asparagine modification" "MAGT1/RPN2/DAD1/STT3A/UGGT1/STT3B/RPN1/VCP/HIF1AN/UBE2G2/UBE2J1"
"protein export from nucleus" "NUP160/TPR/RIOK2/NDC1/NUP133/PRKACA/RBM22/POLDIP3/EMD/NUP88/NUP98/SRSF4/SRSF11/HNRNPA2B1/CSE1L/LTV1/NCBP1/ANP32B/EIF4A3/BAG3/SRSF2/MAGOH/NUP35/IWS1/ABCE1/CPSF2/PA2G4/CALR/PTPN11/ALYREF/RBM8A"
"negative regulation of catabolic process" "POLDIP2/TIMP2/THRAP3/YBX3/ELAVL1/VPS35/PABPC1/MTMR2/SCFD1/TIMP3/CHMP4B/CST3/USP14/LAPTM4B/NOP53/NAMPT/EIF4G2/MAPK14/TARDBP/RPL5/PIN1/LARS/OS9/DHX9/LRPPRC/HNRNPD/NPC1/AKT1/NAF1/NOCT/MAD2L1/FMC1/DDIT4/STAT3/PAIP1/SMARCC1/DHX36/WDR6/UBE2G2/USP7/SF3B3/UBE2J1"
"negative regulation of chromosome segregation" "SPDL1/TPR/NDC80/NAA10/IK/DUSP1/PSMG2/CCNB1/DYNC1LI1/BUB3/MAD2L1/RAD21/PLK1/CDT1"
"protein folding in endoplasmic reticulum" "HSPA5/DNAJC10/EMC3/CANX/EMC1/EMC4/HSP90B1/PDIA3/CALR"
"RNA export from nucleus" "NUP160/TPR/RIOK2/NDC1/NUP133/POLDIP3/NUP88/NUP98/SRSF4/SRSF11/HNRNPA2B1/LTV1/DHX9/NCBP1/RBM26/EIF4A3/SRSF2/MAGOH/NUP35/IWS1/ABCE1/PHAX/CPSF2/PA2G4/ALYREF/RBM8A"
"negative regulation of mRNA metabolic process" "PTBP1/THRAP3/YBX3/ELAVL1/PABPC1/ZC3H14/HNRNPL/C1QBP/MAPK14/SRSF4/TARDBP/HNRNPA2B1/RBM42/DHX9/CDK9/HNRNPD/NOCT/PAIP1"
"cellular respiration" "UQCRC1/SDHA/NDUFB2/HIF1A/NOP53/COQ10B/SDHB/NDUFA8/DLST/CISD1/NDUFA1/PDHA1/CCNB1/SUCLA2/NDUFA9/SDHC/MDH2/NDUFB9/DLAT/NDUFC2/OXA1L/UQCRQ/VCP/IDH3A/UQCRFS1/PRELID1/NDUFV2/IDH2/COX2/ND5"
"positive regulation of cellular protein localization" "TPR/RIOK2/IPO5/PRKACA/PTGS2/EPB41L2/NDC80/RBM22/MAPK1/EMD/OAZ1/PDCD5/CLIP3/ZPR1/MAPK14/TMEM30A/SPTBN1/CCT4/TCP1/ACSL3/TRIM28/SYT11/ROCK2/NMT1/ANP32B/IQGAP1/NPEPPS/AKT1/PARP1/CCT5/BAG3/SAR1B/RER1/SQSTM1/CCT3/PRKCI/ARF6/PLK1/CDT1/MFF/KIF5B/HDAC3/MYO1C"
"negative regulation of chromosome separation" "SPDL1/TPR/NDC80/IK/DUSP1/PSMG2/CCNB1/DYNC1LI1/BUB3/MAD2L1/RAD21/PLK1/CDT1"
"mitotic spindle assembly checkpoint" "SPDL1/TPR/NDC80/IK/DUSP1/PSMG2/CCNB1/DYNC1LI1/BUB3/MAD2L1/PLK1/CDT1"
"spindle checkpoint" "SPDL1/TPR/NDC80/IK/DUSP1/PSMG2/CCNB1/DYNC1LI1/BUB3/MAD2L1/PLK1/CDT1"
"spindle assembly checkpoint" "SPDL1/TPR/NDC80/IK/DUSP1/PSMG2/CCNB1/DYNC1LI1/BUB3/MAD2L1/PLK1/CDT1"
"mitotic spindle checkpoint" "SPDL1/TPR/NDC80/IK/DUSP1/PSMG2/CCNB1/DYNC1LI1/BUB3/MAD2L1/PLK1/CDT1"
"regulation of mRNA stability" "THRAP3/YBX3/ELAVL1/PABPC1/EXOSC7/TNPO1/DIS3/KHSRP/ZC3H14/MAPK14/EXOSC8/TARDBP/DHX9/HNRNPD/AKT1/UBC/NOCT/CARHSP1/UBB/EXOSC1/PAIP1/DHX36/YTHDF2"
"positive regulation of chromosome organization" "KDM1A/CUL3/TPR/XRCC5/SMARCB1/MAPK1/H2AFY/CCT4/SFPQ/NEK2/TCP1/HNRNPA2B1/TRIM28/CCNB1/CDK9/RTF1/HNRNPD/RB1/NAF1/CCT5/LMNA/CCT3/RAD21/CDT1/FEN1/DHX36/UBE2N/RUVBL2/HIST1H1B"
"RNA 3'-end processing" "PABPC1/EXOSC7/SNRPA/PAPOLA/POLDIP3/ZC3H14/CSTF2/SRSF4/SRSF11/ERI3/EXOSC8/GRSF1/CCNB1/CDC73/CDK9/NCBP1/EIF4A3/CPSF7/SRSF2/MAGOH/CPSF2/NUDT21/TRMT10C/DHX36/CSTF3/ALYREF/RBM8A"
"mitochondrial translational termination" "MRPS34/MRPL28/MRPS15/MRPS2/PTCD3/MRPL44/MRPL9/MRPS5/MRPL39/OXA1L/MRPL17/MRPL58/MRPS22/MRPL14/MRPS23/MRPS16/MRPL54/MRPL38/MRPL46/MRPL45"
"protein targeting to membrane" "SEC62/RPS20/SEC63/RPL3/CHMP4B/RPS19/RPS13/RPS12/RPL22/RPL21/RPL5/RPS15A/RPS11/RPL13A/RPS8/RPL37/SSR2/PRKCI/RAB8B/RPL27A/SRP68/MFF/ARL6IP1/RPL4/SRP72/RPLP2/MYO1C/RPL12/RPS4X/ASNA1/RPL10A/GDI1"
"chromosome segregation" "SLC25A5/CUL3/SPDL1/TPR/RIOK2/NDC1/NDC80/CHMP2B/CHMP4B/NAA10/PPP2R1A/KPNB1/NCAPG/IK/H2AFY/SMC4/ACTR3/SFPQ/NEK2/NEK6/DUSP1/PDS5A/PSMG2/TUBG1/TOP2A/CCNB1/CDCA8/RB1/CIAO1/DYNC1LI1/BUB3/RACGAP1/MAD2L1/RAD21/PLK1/CDT1/FEN1/RCC2/DYNC1H1/MCMBP/TOP1/PHB2"
"mitochondrial gene expression" "IARS2/MRPS34/MRPL28/GARS/C1QBP/MRPS15/MRPS2/PTCD3/MRPL44/LRPPRC/MRPL9/MRPS5/MTG1/MRPL39/OXA1L/MRPL17/MRPL58/TRMT10C/MRPS22/TUFM/MRPL14/MRPS23/MRPS16/MRPL54/MRPL38/MRPL46/MRPL45"
"regulation of RNA stability" "THRAP3/YBX3/ELAVL1/PABPC1/EXOSC7/TNPO1/DIS3/KHSRP/ZC3H14/MAPK14/EXOSC8/TARDBP/DHX9/HNRNPD/AKT1/NAF1/UBC/NOCT/CARHSP1/UBB/EXOSC1/PAIP1/DHX36/YTHDF2"
"chromosome separation" "CUL3/SPDL1/TPR/RIOK2/NDC80/PPP2R1A/IK/NEK6/DUSP1/PSMG2/TOP2A/CCNB1/RB1/DYNC1LI1/BUB3/MAD2L1/RAD21/PLK1/CDT1"
"energy derivation by oxidation of organic compounds" "UQCRC1/SDHA/NDUFB2/HIF1A/PYGB/NOP53/COQ10B/SDHB/NDUFA8/DLST/CISD1/NDUFA1/GFPT2/PDHA1/SELENOS/CCNB1/IL6ST/SUCLA2/NDUFA9/AKT1/SDHC/MDH2/NDUFB9/DLAT/NDUFC2/OXA1L/UQCRQ/VCP/IDH3A/UQCRFS1/PRELID1/NDUFV2/IDH2/HMGB1/GFPT1/COX2/ND5"
"response to unfolded protein" "ERP44/HSPA5/HSP90AA1/DNAJA1/FKBP14/CCND1/HSPA9/FAF2/NFE2L2/SELENOS/DNAJB1/TLN1/THBS1/PDIA6/UBXN4/HSPD1/SRPRB/MANF/HYOU1/HSPA13/LMNA/STT3B/VCP/HSP90B1/HSPA4/CALR/ASNA1/GFPT1/DCTN1"
"protein exit from endoplasmic reticulum" "UFD1/SEL1L/TMEM30A/FAF2/AUP1/SELENOS/OS9/SAR1B/VCP/HSP90B1/UBE2G2/INSIG1/UBE2J1"
"SRP-dependent cotranslational protein targeting to membrane" "RPS20/SEC63/RPL3/RPS19/RPS13/RPS12/RPL22/RPL21/RPL5/RPS15A/RPS11/RPL13A/RPS8/RPL37/RPL27A/SRP68/RPL4/SRP72/RPLP2/RPL12/RPS4X/RPL10A"
"Golgi vesicle budding" "CUL3/TMED2/SCFD1/NAPA/GOLPH3/PPP6C/RAB1A/USO1/CSNK1D/SEC24D/SAR1B/PRKCI/TRAPPC1/TMED10/RAB1B/TRAPPC5/TMED9/INSIG1"
"regulation of protein catabolic process" "PSMC4/TIMP2/VPS35/PRKACA/HSP90AA1/PSMC5/PSME1/TIMP3/RBX1/PSMC6/CST3/USP14/LAPTM4B/OAZ1/NOP53/PSMD3/PSMD14/ODC1/NFE2L2/RAD23B/CLU/RPL5/PIN1/SNX9/UBQLN1/OS9/CSNK1D/AKT1/PLK2/LPCAT1/EEF1A1/SNF8/PSMC2/MAD2L1/VCP/PLK1/DDB1/UBB/SMARCC1/PSMD1/PSMD2/RAD23A/UBE2G2/USP7/UBQLN2/SF3B3/UBE2J1/GPX1"
"viral translation" "PTBP1/EIF3L/EIF3D/EIF3B/EIF3A/EIF3G/DHX9/DENR"
"alternative mRNA splicing, via spliceosome" "RBM5/KDM1A/PTBP1/THRAP3/DDX17/HNRNPL/DDX5/SRSF4/SFPQ/RBM25/SMU1/DHX9/TRA2B/WTAP/SRSF2/MAGOH/RBM8A"
"regulation of protein stability" "CUL3/VPS35/SEL1L/HSP90AA1/CMTM6/MAPK1/NOP53/CDC37/GTPBP4/PFN1/GAPDH/CCT4/P3H1/STX12/TCP1/CLU/RPL5/NCLN/PIN1/CDC73/FLOT1/HSPD1/CCT5/BAG3/LMNA/RNF149/CCT3/NAA15/PPIB/PLK1/CRTAP/HDAC3/CALR/RAD23A/HIST1H1B/LAMP1/USP7/PHB2"
"negative regulation of mitotic nuclear division" "SPDL1/TPR/NDC80/NAA10/IK/DUSP1/PSMG2/CCNB1/DYNC1LI1/BUB3/MAD2L1/RAD21/PLK1/CDT1"
"positive regulation of nucleocytoplasmic transport" "TPR/RIOK2/IPO5/PRKACA/PTGS2/RBM22/MAPK1/EMD/ZPR1/MAPK14/TRIM28/DHX9/ANP32B/RBM26/BAG3/HDAC3"
"protein N-linked glycosylation via asparagine" "MAGT1/RPN2/DAD1/STT3A/UGGT1/STT3B/RPN1/VCP/UBE2G2/UBE2J1"
"regulation of apoptotic signaling pathway" "KDM1A/SLC25A5/GCLM/BCLAF1/YBX3/GNAI3/PTGS2/ENO1/DNAJA1/ERP29/TIMP3/HIF1A/PDCD5/PPP2R1A/PPIF/LTBR/GNAI2/NFE2L2/HDAC1/SFPQ/CLU/SELENOS/TPT1/UBQLN1/NMT1/THBS1/ITGAV/SOD1/AKT1/PARP1/HYOU1/LMNA/HMGB2/PDIA3/ACAA2/DAPK3/MFF/PRELID1/UBB/QARS/MAGED1/PAK2/P4HB/NOC2L/OPA1/GPX1/MIF/APOPT1"
"cellular protein complex disassembly" "CAPG/MRPS34/MRPL28/GSPT1/NAPA/SPTBN1/CAPZA1/MRPS15/MRPS2/PTCD3/NES/MRPL44/MRPL9/MRPS5/MRPL39/OXA1L/MRPL17/EIF5A2/ABCE1/CFL2/MRPL58/MRPS22/CKAP5/MRPL14/MRPS23/MRPS16/MRPL54/MRPL38/TWF2/MRPL46/MRPL45"
"retrograde vesicle-mediated transport, Golgi to ER" "ARF5/TMED2/SCFD1/ARCN1/NAPA/COPE/GOLPH3/COPB1/KDELR2/RAB1A/RER1/RACGAP1/ARF4/TMED10/RAB1B/RAB6A/COPG1/COPB2/TMED9"
"protein modification by small protein removal" "PSMB1/PSMC4/UFD1/UBE2D1/PSMC5/PSME1/PSMC6/HIF1A/PSMB5/YY1/USP14/PSMD7/USP10/NOP53/DDX58/PSMD3/PSMD11/PSMD9/PSMD14/RAD23B/NEDD8/MAP3K7/TOR1A/PSMB7/PSMA5/CCNA2/UBC/PSMC2/PSMD6/VCP/COPS6/GPS1/UBB/PSMD1/TOMM20/PSMD2/RAD23A/USP7/PSMD12/PSMB3"
"vesicle budding from membrane" "CUL3/AP3D1/TMED2/SCFD1/NAPA/WASL/GOLPH3/PPP6C/RAB1A/USO1/CSNK1D/SEC24D/SAR1B/PRKCI/TRAPPC1/TMED10/RAB1B/TRAPPC5/TMED9/INSIG1"
"vesicle targeting" "TBC1D23/CUL3/TMED2/SCFD1/SNAP23/NAPA/YKT6/GOSR1/PPP6C/RAB1A/USO1/CSNK1D/SEC24D/SAR1B/TRAPPC1/TMED10/RAB1B/TRAPPC5/TMED9"
"positive regulation of cellular amide metabolic process" "YBX3/ELAVL1/PABPC1/MAPK1/POLDIP3/EIF3D/EIF3E/HNRNPL/C1QBP/NFE2L2/CLU/RPL5/ROCK2/CDK4/DHX9/THBS1/HNRNPD/EIF4A3/CDC123/EIF5A2/EEF2/PAIP1/TRMT10C/DHX36/RPS4X/YTHDF2"
"regulation of intracellular transport" "EHD2/TPR/PPP1R12A/RIOK2/IPO5/PRKACA/PTGS2/RBM22/MTMR2/SCFD1/MAPK1/EMD/BNIP3L/OAZ1/PDCD5/NAPA/NCS1/ZPR1/MAPK14/TMEM30A/MAP2K2/TRIM28/MAP1B/OS9/DHX9/ANP32B/RBM26/NPEPPS/YIPF5/BAG3/SAR1B/CALM3/IWS1/NOLC1/MFF/MAP2K1/KIF5B/HDAC3/ARHGAP1/PTPN11/UBE2G2/RAB11B/LAMP1/INSIG1/DYNC1H1/MYO1C/UBE2J1/GDI1"
"protein-DNA complex assembly" "PSMC4/MCM2/PSMC5/SMARCB1/RBX1/PSMC6/GTF2H3/H2AFY/DR1/RAD23B/NASP/ANP32B/GTF2B/RB1/PARP1/CETN2/UBC/SMARCA5/HIST1H4H/PSMC2/RBBP4/HMGB2/CDT1/DDB1/HIST1H1E/UBB/TAF7/HIST1H1B/H1FX/HIST1H1C/H1F0/TSPYL1/HMGB1/HIST1H4K/HIST1H4D/HIST1H4A"
"positive regulation of protein localization to nucleus" "TPR/IPO5/PTGS2/RBM22/MAPK1/ZPR1/MAPK14/CCT4/TCP1/TRIM28/AKT1/PARP1/CCT5/BAG3/CCT3/PLK1/HDAC3"
"regulation of intrinsic apoptotic signaling pathway" "KDM1A/BCLAF1/YBX3/PTGS2/ENO1/DNAJA1/ERP29/HIF1A/PPIF/NFE2L2/HDAC1/SFPQ/CLU/SELENOS/TPT1/UBQLN1/SOD1/AKT1/PARP1/HYOU1/UBB/P4HB/NOC2L/OPA1/GPX1/MIF"
"protein stabilization" "SEL1L/HSP90AA1/NOP53/CDC37/GTPBP4/PFN1/GAPDH/CCT4/P3H1/STX12/TCP1/CLU/RPL5/NCLN/PIN1/FLOT1/HSPD1/CCT5/BAG3/CCT3/NAA15/PPIB/CRTAP/CALR/HIST1H1B/LAMP1/USP7/PHB2"
"regulation of gene silencing" "POLR2B/ELAVL1/ZMPSTE24/POLR2C/DDX5/MAP2K2/TRIM28/DHX9/PPP3CA/HIST1H4H/HIST1H1E/STAT3/MAP2K1/POLR2A/HIST1H1B/H1FX/HIST1H1C/H1F0/HIST1H4K/HIST1H4D/HIST1H4A"
"autophagy" "POLDIP2/VTA1/GNAI3/VPS35/PRKACA/HSP90AA1/CHMP2B/ZMPSTE24/SCFD1/SPTLC2/HIF1A/TM9SF1/CHMP4B/USP10/BNIP3L/CDC37/NAMPT/RHEB/EIF4G2/GAPDH/ATP6V0B/STX12/CLU/ATP6V1E1/LARS/UBQLN1/SNX14/MAP3K7/RAB1A/CLTC/NPC1/AKT1/RALB/PLK2/ATP6V1B2/MTDH/SCOC/ATP6V1C1/VPS37A/EEF1A1/SNF8/HK2/SQSTM1/VCP/DAPK3/GABARAP/RAB1B/WDR6/UBQLN2/NBR1/HMGB1/RAB12"
